year,month,day,hour,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,PM2.5,PM10
2013,3,4,16,7,43,600,77,14.7,1017.5,-15.5,0,2.9,5,13
2013,3,4,17,8,44,600,86,13.2,1017.8,-15.7,0,3,19,24
2013,3,4,18,6,54,600,82,12.6,1018.3,-13.4,0,2.9,21,29
2013,3,4,19,11,71,700,59,12,1018.5,-13.1,0,2.7,24,38
2013,3,4,20,14,84,900,43,10.9,1018.8,-11.9,0,1.4,32,61
2013,3,4,21,19,85,900,44,10.2,1018.8,-11.8,0,2,40,66
2013,3,4,22,23,84,900,45,10,1018.5,-12,0,3,50,73
2013,3,4,23,45,98,1100,92,9.4,1017.5,-11.3,0,2.7,54,76
2013,3,5,0,54,66,1100,92,8.8,1017,-10.7,0,2.1,69,87
2013,3,5,1,75,61,1100,92,7.8,1016.5,-10.6,0,1.3,74,94
2013,3,5,2,74,63,1100,92,4.7,1016.1,-10.6,0,0,87,112
2013,3,5,3,80,71,1300,92,4.5,1015.7,-9.3,0,0,93,106
2013,3,5,4,88,82,1500,92,1.3,1015.7,-8.8,0,1.2,99,110
2013,3,5,5,83,85,1700,92,0.4,1015.7,-9.6,0,0.8,116,127
2013,3,5,6,67,103,2500,92,-0.2,1015.5,-8.4,0,1,121,128
2013,3,5,7,61,103,3500,92,2.1,1015.4,-8.6,0,0.9,116,131
2013,3,5,8,69,103,3799,92,5,1015.1,-8.9,0,1,125,146
2013,3,5,9,86,118,4299,92,6.7,1014.5,-8.9,0,1.3,140,167
2013,3,5,10,103,140,3799,92,9.1,1013.8,-8.5,0,0.9,152,194
2013,3,5,11,105,152,3700,92,10.9,1012.8,-8.4,0,1.3,128,197
2013,3,5,12,98,155,2799,21,12.3,1011.4,-8.8,0,0,3,215
2013,3,5,13,86,162,2600,92,13,1010.1,-8.3,0,1.5,3,192
2013,3,5,14,86,196,3000,92,13.3,1009.5,-8,0,1.6,3,175
2013,3,5,15,85,211,3000,86,13.8,1009.1,-7.6,0,1.9,163,192
2013,3,5,16,95,195,2700,86,13.2,1009,-7.5,0,1.8,192,206
2013,3,5,17,93,163,2100,82,11.6,1009.4,-7.3,0,0.7,203,230
2013,3,5,18,92,156,2000,59,9.4,1009.8,-5.7,0,0.7,195,216
2013,3,5,19,97,175,2200,48,6.7,1010.4,-5,0,0.1,185,204
2013,3,5,20,102,184,2700,48,5.2,1010.7,-4.7,0,0,203,218
2013,3,5,21,117,183,2799,48,4.3,1010.5,-2.6,0,1,217,226
2013,3,5,22,123,185,3299,48,4.3,1010.7,-4.2,0,0.8,235,238
2013,3,5,23,122,181,3299,48,4.9,1010.5,-5.8,0,0,242,243
2013,3,6,0,124,182,3299,48,5.6,1010.4,-7,0,0.8,229,232
2013,3,6,1,117,169,2899,44,3.5,1010.2,-6,0,0.5,202,236
2013,3,6,2,NA,158,2399,35,6.3,1009.9,-7,0,1,184,214
2013,3,6,3,107,155,NA,35,6.3,1009.6,-7,0,0.7,169,190
2013,3,6,4,87,NA,1899,35,5.1,1009.5,-6.5,0,1,153,175
2013,3,6,5,93,139,2200,35,4.6,1009.8,-6.3,0,0.7,145,160
2013,3,6,6,97,138,2500,35,4.1,1010.3,-6.2,0,0.8,148,162
2013,3,6,7,108,131,2399,35,5.3,1011,-6,0,0.9,156,178
2013,3,6,8,88,119,2399,35,6.9,1010.8,-6.5,0,1.3,152,179
2013,3,6,9,88,116,2500,35,8.4,1010.8,-6.6,0,0.8,176,177
2013,3,6,10,96,114,2200,35,8.8,1010.4,-6.2,0,1.1,138,170
2013,3,6,11,97,112,2100,35,9.5,1009.5,-6,0,1,167,171
2013,3,6,12,109,122,2299,35,10.4,1008.5,-5.6,0,0.2,172,176
2013,3,6,13,116,131,2500,35,11.5,1007.6,-5.1,0,0.8,189,201
2013,3,6,14,118,138,2700,35,13.2,1006.9,-4.5,0,1,204,223
2013,3,6,15,119,153,2899,35,14.7,1007,-4.6,0,1.3,227,245
2013,3,6,16,133,166,3100,35,14.6,1007.2,-4.7,0,0,237,257
2013,3,6,17,134,176,3200,30,11.8,1007.9,-4.4,0,0.6,232,247
2013,3,6,18,146,179,3399,14,8.5,1008.5,-4,0,0,232,249
2013,3,6,19,142,177,3500,14,8.5,1009.3,-4.4,0,0.4,235,258
2013,3,6,20,140,173,3500,14,5.8,1009.9,-3.6,0,0.2,235,262
2013,3,6,21,139,165,3700,14,5.3,1009.4,-4,0,0.7,238,260
2013,3,6,22,140,158,3700,14,8.3,1009.3,-3.6,0,1.8,234,257
2013,3,6,23,130,156,4099,14,5,1009.4,-3.3,0,1,234,251
2013,3,7,0,121,151,3899,14,2.9,1009.2,-3.2,0,0.6,231,249
2013,3,7,1,126,146,3600,14,2.2,1009,-3.3,0,1.6,226,236
2013,3,7,2,122,140,3500,14,3.3,1008.9,-3.3,0,1.6,228,241
2013,3,7,3,104,136,3600,14,1.2,1008.3,-3.9,0,0.4,230,250
2013,3,7,4,74,153,6500,14,0.9,1008.5,-2.5,0,1.4,227,245
2013,3,7,5,69,159,7200,14,0.5,1008.6,-3.4,0,0.9,291,321
2013,3,7,6,88,165,6500,14,-0.4,1008.4,-3.3,0,0.1,314,337
2013,3,7,7,87,157,5500,14,2.6,1008.7,-1.8,0,0,318,331
2013,3,7,8,111,150,5000,14,8.9,1008.7,-2.1,0,0.9,300,301
2013,3,7,9,160,149,4099,14,9.4,1007.9,-2.6,0,1.1,281,287
2013,3,7,10,153,180,4500,14,10.5,1007.2,-2.6,0,1,253,256
2013,3,7,11,130,216,4700,14,14.7,1005.5,-2.3,0,3.2,258,273
2013,3,7,12,142,273,5599,14,16,1003.2,-2.5,0,2.7,299,341
2013,3,7,13,136,210,3899,32,17.9,1001.8,-3,0,2.5,363,396
2013,3,7,14,100,148,3299,78,18.1,1000.5,-3.4,0,1.8,332,336
2013,3,7,15,75,106,2600,102,19.5,999.3,-4.8,0,3,317,319
2013,3,7,16,58,94,2000,102,19.1,998.9,-3.8,0,0.9,214,261
2013,3,7,17,63,87,1700,102,17.3,998.5,-3.5,0,0.4,150,194
2013,3,7,18,66,118,1899,102,12.5,998.9,-2.2,0,0.7,195,208
2013,3,7,19,64,144,2000,34,11.2,999.4,-1.6,0,1,188,198
2013,3,7,20,69,190,2799,102,10.2,999.6,0.2,0,0.5,178,196
2013,3,7,21,113,245,4599,102,8.6,999.5,0.1,0,0.6,203,257
2013,3,7,22,122,256,5400,102,8.1,1000.1,-0.9,0,0.8,403,502
2013,3,7,23,118,237,5400,102,7,1000,-1.4,0,0.4,490,535
2013,3,8,0,116,223,5700,102,5.4,1000,-1.5,0,0.9,493,500
2013,3,8,1,105,210,5099,102,5.3,1000.2,-1.8,0,0.9,396,446
2013,3,8,2,107,203,4700,102,4.1,999.9,-2.3,0,0,346,391
2013,3,8,3,105,200,4299,102,3.5,999.8,-2.5,0,0.6,312,340
2013,3,8,4,86,188,4200,102,3.4,1000.2,-2.6,0,1,303,329
2013,3,8,5,78,180,4200,102,3.4,1001,-2,0,0.2,294,320
2013,3,8,6,72,174,4000,102,3.5,1001.6,-2.5,0,0.7,291,314
2013,3,8,7,63,163,5000,102,6.6,1002.2,-0.9,0,0.1,288,309
2013,3,8,8,76,161,5500,102,11.6,1002.3,-1.9,0,1,284,306
2013,3,8,9,100,170,5200,102,16.6,1002.6,-3.5,0,1,279,324
2013,3,8,10,78.54,151.922,NA,102,19.9,1002.4,-5.2,0,0.9,216,233
2013,3,8,11,46,132,2500,102,21.2,1002,-2.7,0,3.1,157,135
2013,3,8,12,36,111,1600,102,21.7,1001.1,-4.4,0,2.9,105,123
2013,3,8,13,43,111,1800,102,17.2,1001,0.8,0,3.5,184,203
2013,3,8,14,98,148,3899,102,13.8,1001.2,-0.3,0,4.9,332,487
2013,3,8,15,87,97,2600,102,11.9,1001.5,-2,0,5.1,239,284
2013,3,8,16,60,64,1500,101,10.9,1001.7,-1.5,0,2.4,155,168
2013,3,8,17,46,50,1000,93,9.9,1001.9,-1.5,0,1.6,86,101
2013,3,8,18,41,53,1000,93,9.2,1002.4,-1,0,1.3,85,90
2013,3,8,19,38,68,1200,93,8.4,1002.4,-2.3,0,1.9,88,92
2013,3,8,20,37,57,1000,93,7.2,1002.2,-3.7,0,3,90,61
2013,3,8,21,35,66,1200,93,6,1002,-4.5,0,1.9,59,65
2013,3,8,22,52,71,1700,93,5.9,1001.1,-5.1,0,1,63,71
2013,3,8,23,60,67,1700,93,5.3,999.2,-5.1,0,0.4,82,54
2013,3,9,0,72,63,2000,93,4.4,997.9,-4.9,0,0,51,53
2013,3,9,1,84,83,2600,93,3,996.9,-4.2,0,0.1,61,84
2013,3,9,2,87,88,2700,93,2.6,995.9,-3.7,0,1.2,72,91
2013,3,9,3,83,80,2899,93,2.3,994.7,-4.2,0,0.9,77,102
2013,3,9,4,79,103,3100,93,1.7,993.7,-4,0,0,81,104
2013,3,9,5,80,104,3600,93,2.4,993.9,-3.9,0,1.7,84,111
2013,3,9,6,77,106,3799,93,4,994.1,-3.5,0,1.4,114,117
2013,3,9,7,72,109,2500,93,5,994.7,-2.8,0,1.7,106,107
2013,3,9,8,78,103,2200,93,7,996,-3.3,0,0.4,108,117
2013,3,9,9,88,100,2100,93,14.3,997.3,-1.8,0,5.3,114,140
2013,3,9,10,86,90,2000,93,17.3,999.6,-5.9,0,7.5,130,227
2013,3,9,11,29,28,600,93,13.8,1002.9,-10.9,0,6.1,62,325
2013,3,9,12,3,14,300,93,11.7,1005.8,-16.8,0,9.2,62,740
2013,3,9,13,3,12,300,93,9.9,1008.5,-19.3,0,6.4,45,558
2013,3,9,14,3,12,300,94,9.5,1009.8,-19.6,0,7.1,47,710
2013,3,9,15,3,12,300,94,9.7,1011.1,-19.4,0,4.7,36,811
2013,3,9,16,3,13,300,94,10,1012.8,-20.3,0,6.2,15,281
2013,3,9,17,3,13,300,94,8.9,1014.7,-20.1,0,6.5,15,175
2013,3,9,18,3,12,300,94,7.9,1017.5,-20.8,0,5.2,12,100
2013,3,9,19,3,15,300,94,6.9,1019.2,-20.6,0,7.1,12,84
2013,3,9,20,3,18,300,94,6.1,1021,-20.3,0,8.8,14,79
2013,3,9,21,3,19,300,94,5.6,1022.6,-19.9,0,4.5,12,77
2013,3,9,22,3,18,300,94,5.3,1023.1,-20.1,0,2.4,14,32
2013,3,9,23,3,15,300,94,4.3,1023.4,-20.1,0,1.6,9,10
2013,3,10,0,3,21,400,94,2.1,1022.9,-17.5,0,1.6,3,7
2013,3,10,1,6,31,400,94,0.2,1023.2,-16.6,0,0.5,3,7
2013,3,10,2,6,41,600,94,-1.6,1023.1,-15.8,0,0,14,15
2013,3,10,3,8,53,NA,94,-0.9,1023.3,-15.9,0,0,16,32
2013,3,10,4,8,54,800,94,-1.9,1024,-14.7,0,0,6,21
2013,3,10,5,11,87,900,94,-2.8,1024.1,-13.4,0,0,26,37
2013,3,10,6,19,89,1000,94,-2.1,1024.4,-13.3,0,0.1,23,41
2013,3,10,7,20,91,1300,94,3.7,1025.4,-15.6,0,3,25,31
2013,3,10,8,25,80,1000,94,5.7,1025.5,-16.8,0,2.8,29,35
2013,3,10,9,30,57,800,94,6.8,1025,-17.3,0,5.2,26,33
2013,3,10,10,24,48,800,94,8.7,1024.3,-17.4,0,3.1,27,40
2013,3,10,11,20,37,800,94,9.9,1023.7,-17.3,0,2.4,36,54
2013,3,10,12,21,36,700,94,11.3,1022.8,-17.2,0,1.3,36,44
2013,3,10,13,18,30,600,94,11.2,1021.7,-17.2,0,3.8,32,34
2013,3,10,14,18,32,600,94,11.4,1020.8,-16.1,0,3.9,32,35
2013,3,10,15,17,31,500,95,11.3,1020.4,-16.2,0,3.9,32,46
2013,3,10,16,18,31,500,95,10.8,1020.2,-14.9,0,4.6,38,55
2013,3,10,17,20,37,500,95,9.6,1020.2,-14.3,0,3,41,64
2013,3,10,18,22,44,600,95,8.9,1020.6,-13.5,0,3.7,52,80
2013,3,10,19,26,58,800,95,8.3,1020.9,-12.8,0,3.2,60,84
2013,3,10,20,33,80,900,95,7.6,1021.1,-12.3,0,2.4,74,101
2013,3,10,21,32,82,900,95,7.2,1021.2,-12.1,0,2.8,73,99
2013,3,10,22,42,88,1100,95,6.8,1020.6,-11.9,0,2.3,78,108
2013,3,10,23,47,84,1000,95,6.7,1020.7,-12.5,0,2.4,79,106
2013,3,11,0,58,68,900,95,5.3,1020.5,-11.3,0,0.9,79,104
2013,3,11,1,88,70,1000,95,4.5,1020.1,-11.2,0,0.8,91,119
2013,3,11,2,89,73,1000,95,3.6,1019.3,-10.5,0,0.4,94,114
2013,3,11,3,95,82,1100,95,2.4,1019,-9.9,0,0.4,101,120
2013,3,11,4,83,85,1100,95,0.2,1018.9,-9,0,1.6,99,106
2013,3,11,5,81,68,900,95,1.5,1018.9,-8.9,0,0.1,93,98
2013,3,11,6,62,81,1100,95,-0.2,1019.1,-8.2,0,0.8,88,100
2013,3,11,7,54,88,1100,95,2.1,1019.2,-7.8,0,0.8,87,89
2013,3,11,8,72,90,1300,95,5,1019.1,-8.2,0,0.8,94,102
2013,3,11,9,80,90,1399,95,6,1018.6,-8.7,0,2.3,104,114
2013,3,11,10,100,96,1700,95,7.5,1017.8,-8.6,0,2.2,116,131
2013,3,11,11,113,105,2000,95,9.1,1016.5,-9.4,0,2,131,153
2013,3,11,12,125,108,1899,95,10.5,1015.2,-9.3,0,1.9,148,157
2013,3,11,13,116,91,1500,95,11.6,1013.8,-7.8,0,3.1,134,140
2013,3,11,14,97,63,1100,95,11.8,1012.8,-7.6,0,3.7,105,130
2013,3,11,15,104,65,1100,93,11.6,1012.1,-7.8,0,3.4,108,118
2013,3,11,16,115,84,1399,86,11,1011.3,-6.4,0,2.7,110,140
2013,3,11,17,156,99,2000,86,10.6,1011.6,-4.6,0,2.2,130,184
2013,3,11,18,86,92,1500,74,10.4,1011.9,-4.1,0,1.3,137,204
2013,3,11,19,74,95,1399,65,10.4,1012.2,-3.3,0,0.8,145,185
2013,3,11,20,74,110,1600,65,10.2,1012.4,-5,0,1.1,154,197
2013,3,11,21,65,104,1500,65,9.6,1011.8,-5.1,0,0.8,151,169
2013,3,11,22,46,90,1200,65,9.2,1011.5,-5.5,0,1.5,115,121
2013,3,11,23,39,91,1300,65,8.5,1010.4,-5.4,0,0.9,99,122
2013,3,12,0,54,101,1399,65,7.8,1009.7,-5.3,0,1.3,109,124
2013,3,12,1,66,101,2000,65,7.6,1008.8,-4.8,0,1.1,122,148
2013,3,12,2,70,96,1899,65,6.7,1007.9,-3.8,0,0.8,123,133
2013,3,12,3,73,96,1899,65,7.2,1008,-2.8,0,1.5,123,134
2013,3,12,4,79,95,2100,65,5.6,1008.6,-0.1,0.5,0.2,128,146
2013,3,12,5,55,91,2200,65,4.5,1008.3,0.8,0.3,1.7,125,186
2013,3,12,6,20,92,2299,65,3.8,1008.5,2,1,0,134,135
2013,3,12,7,20,91,2200,65,3,1008.8,1.5,2.6,0.9,107,114
2013,3,12,8,17,85,1800,65,3.4,1008.8,2.2,0.3,1.7,116,114
2013,3,12,9,17,86,1700,65,3.5,1008.6,2.3,0.1,1.3,114,87
2013,3,12,10,23,92,2100,65,3.7,1008.9,2.5,0.2,0.9,101,102
2013,3,12,11,24,94,2200,65,4,1008.7,2.7,0.1,1.6,122,125
2013,3,12,12,25,93,2200,65,4.6,1008.2,2.8,0.1,1.3,125,125
2013,3,12,13,36,90,2000,65,4.9,1008.8,3.2,0,1.5,148,126
2013,3,12,14,34,83,1600,64,5.2,1009.1,3.4,0,2.1,137,94
2013,3,12,15,33,77,1500,45,5.6,1009.3,3.8,0,1.5,123,85
2013,3,12,16,30,82,1700,39,6.5,1009.7,3.8,0.1,0,108,109
2013,3,12,17,43,85,1700,39,6.4,1011.3,3.5,0,0.8,134,109
2013,3,12,18,41,92,1899,34,5.3,1012.7,3.5,0,1.4,140,115
2013,3,12,19,38,96,2000,18,4.6,1014.3,3.4,0,0.6,142,108
2013,3,12,20,30,96,2700,17,4.6,1016.3,3.4,0,0.8,130,137
2013,3,12,21,31,94,2799,17,4.6,1017.6,3.6,0,1.9,166,138
2013,3,12,22,28,94,2399,14,4.1,1018.7,1.6,0,0.9,163,137
2013,3,12,23,38,77,1700,7,5.3,1019.5,-6.3,0,2.5,128,52
2013,3,13,0,42,78,1300,7,4.5,1020.3,-9,0,3.5,83,22
2013,3,13,1,29,44,600,37,3.4,1020.8,-9.3,0,1.6,27,27
2013,3,13,2,11,18,300,67,2.3,1021.2,-9.9,0,1.5,10,10
2013,3,13,3,11,17,300,73,1.5,1021.8,-11.3,0,1.1,15,15
2013,3,13,4,14,27,400,73,0.7,1022.6,-10.2,0,1.2,3,6
2013,3,13,5,14,30,400,73,0.3,1023.3,-10.5,0,1.5,12,6
2013,3,13,6,15,43,500,73,0.1,1024.4,-10.7,0,0.9,13,NA
2013,3,13,7,20,50,600,73,2.2,1025.7,-11,0,1.8,13,2
2013,3,13,8,24,62,600,73,3,1027.1,-12.1,0,4,7,7
2013,3,13,9,20,40,500,73,4,1027.5,-13.4,0,3.4,7,13
2013,3,13,10,10,25,400,73,4.7,1027.4,-13.7,0,2.3,16,14
2013,3,13,11,6,17,300,78,5.7,1026.7,-11.9,0,2.9,10,6
2013,3,13,12,5,15,300,84,6.1,1026,-15.9,0,1.5,8,6
2013,3,13,13,4,14,300,90,7.1,1024.9,-15,0,1.4,14,6
2013,3,13,14,5,15,300,93,8.3,1024.3,-16.1,0,0.9,12,6
2013,3,13,15,6,18,400,93,8.2,1023.9,-14.8,0,2.8,7,6
2013,3,13,16,7,21,400,93,8,1024,-14.3,0,1.8,3,6
2013,3,13,17,7,32,400,93,7,1024.5,-14.5,0,1.7,7,12
2013,3,13,18,13,66,600,93,6,1025.3,-13.1,0,1.5,25,28
2013,3,13,19,12,59,600,93,5.6,1025.8,-12,0,2,36,42
2013,3,13,20,10,62,600,93,5,1026.3,-11.6,0,1.4,33,34
2013,3,13,21,10,61,600,93,4.8,1026.6,-11.8,0,1.8,24,31
2013,3,13,22,14,56,700,93,3.8,1026.6,-6.8,0,3,35,24
2013,3,13,23,20,58,800,93,2.4,1026.9,-4.8,0,2.9,45,59
2013,3,14,0,30,65,1300,93,1.6,1026.8,-5.6,0,3.3,65,106
2013,3,14,1,29,55,1399,93,0.9,1026.9,-5.8,0,1.3,60,68
2013,3,14,2,29,53,1200,93,0.2,1026.5,-6,0,2,57,59
2013,3,14,3,26,60,NA,93,-0.7,1026.2,-5.9,0,2.1,72,56
2013,3,14,4,24,61,1500,93,-1.2,1026.1,-4.7,0,1.4,58,65
2013,3,14,5,32,75,1600,93,-1.1,1026.4,-4.8,0,1.3,85,62
2013,3,14,6,26,72,1500,93,-1,1026.4,-4.2,0,0.9,69,70
2013,3,14,7,22,69,1500,93,-0.1,1026.8,-4.4,0,1.3,55,63
2013,3,14,8,29,68,1500,93,1.5,1026.8,-4.8,0,1.2,79,79
2013,3,14,9,39,69,1700,93,2.9,1026.3,-5,0,1,89,102
2013,3,14,10,47,71,1600,93,4.4,1025.1,-4.9,0,1.2,100,102
2013,3,14,11,47,77,1700,93,5.5,1024.2,-4.7,0,1.8,111,115
2013,3,14,12,48,85,1700,93,8.1,1023.1,-5.7,0,2.7,120,122
2013,3,14,13,89,74,1300,93,8.9,1021.8,-6.1,0,3.1,102,106
2013,3,14,14,118,59,1000,92,9.8,1021,-6.1,0,4.3,89,99
2013,3,14,15,112,52,1000,90,9.2,1020.4,-6.7,0,3.2,85,91
2013,3,14,16,114,66,1000,81,8.7,1020.1,-6.3,0,2.1,79,88
2013,3,14,17,113,67,1100,73,7.7,1020.2,-5.4,0,2.9,81,103
2013,3,14,18,97,82,1100,73,6.9,1020.4,-4.8,0,1.1,89,106
2013,3,14,19,90,97,1200,73,6.8,1020.6,-4.3,0,1.2,90,110
2013,3,14,20,89,102,1200,73,5.1,1020.6,-3.7,0,1.3,92,108
2013,3,14,21,80,108,1399,73,5,1020.5,-3.3,0,1.6,97,122
2013,3,14,22,85,112,1600,73,3.8,1020.3,-3.3,0,1.1,145,150
2013,3,14,23,68,110,2100,73,2.2,1019.8,-3.3,0,1.2,130,154
2013,3,15,0,57,110,2399,73,1.3,1019.7,-3.2,0,0.5,135,160
2013,3,15,1,46,106,2700,73,0.5,1019.2,-2.4,0,0.7,168,171
2013,3,15,2,53,113,2899,73,0.7,1018.6,-3,0,1,185,199
2013,3,15,3,55,110,3299,73,0.7,1018.3,-3,0,1,188,203
