Date,Time,Temperature,DewPoint,Humidity,Wind,WinSpeed,WindGust,Pressure,Precip.,Condition
2017/8/15,10:53 AM,76,52,43,NW,6,0,24.52,0,Cloudy
2017/8/14,1:53 AM,62,50,65,WSW,9,0,24.56,0,Partly Cloudy
2017/8/14,2:53 AM,58,49,72,S,8,0,24.56,0,Cloudy
2017/8/14,3:53 AM,61,49,64,SW,10,0,24.55,0,Cloudy
2017/8/14,4:53 AM,64,48,56,SW,12,0,24.54,0,Cloudy
2017/8/14,5:53 AM,63,48,58,SW,12,0,24.54,0,Mostly Cloudy
2017/8/14,6:53 AM,60,48,64,SSW,8,0,24.55,0,Cloudy
2017/8/14,7:53 AM,69,48,47,SSW,14,0,24.55,0,Partly Cloudy
2017/8/14,8:53 AM,74,46,37,WSW,12,0,24.55,0,Partly Cloudy
2017/8/14,9:53 AM,79,43,28,WSW,8,0,24.54,0,Partly Cloudy
2017/8/14,10:53 AM,84,40,21,VAR,3,0,24.54,0,Partly Cloudy
2017/8/17,1:53 AM,56,48,75,S,9,0,24.7,0,Fair
2017/8/17,2:53 AM,57,49,74,S,12,0,24.69,0,Fair
2017/8/17,3:53 AM,57,48,72,S,10,0,24.68,0,Cloudy
2017/8/17,4:53 AM,60,47,62,SSW,15,0,24.67,0,Mostly Cloudy
2017/8/17,5:53 AM,61,47,60,SSW,17,0,24.68,0,Fair
2017/8/17,6:53 AM,62,48,60,SSW,16,0,24.68,0,Partly Cloudy
2017/8/17,7:53 AM,68,49,50,SW,17,0,24.69,0,Cloudy
2017/8/17,8:53 AM,73,47,39,SW,15,0,24.69,0,Partly Cloudy
2017/8/17,9:53 AM,78,42,28,SW,10,0,24.7,0,Partly Cloudy
2017/8/17,10:53 AM,81,40,23,SW,9,0,24.69,0,Partly Cloudy
2017/8/17,11:53 AM,82,36,19,VAR,6,0,24.68,0,Fair
2017/8/18,1:53 AM,63,42,46,W,5,0,24.68,0,Cloudy
2017/8/18,2:53 AM,63,42,46,W,6,0,24.69,0,Cloudy
2017/8/18,3:53 AM,59,47,64,NW,9,0,24.7,0,Cloudy
2017/8/18,4:53 AM,57,47,69,NNW,8,0,24.7,0,Partly Cloudy
2017/8/18,5:53 AM,56,46,69,W,5,0,24.72,0,Fair
2017/8/18,6:53 AM,59,47,64,W,3,0,24.74,0,Fair
2017/8/18,7:53 AM,61,47,60,SW,5,0,24.75,0,Fair
2017/8/18,8:53 AM,67,46,47,WSW,5,0,24.75,0,Fair
2017/8/18,9:53 AM,71,45,39,WSW,5,0,24.75,0,Fair
2017/8/19,1:53 AM,69,48,47,SSW,14,0,24.65,0,Fair
2017/8/19,2:53 AM,68,48,49,SSW,13,0,24.65,0,Fair
2017/8/19,3:53 AM,67,47,49,SW,6,0,24.64,0,Fair
2017/8/19,4:53 AM,65,46,50,WSW,10,0,24.64,0,Fair
2017/8/19,5:53 AM,62,46,56,WSW,12,0,24.65,0,Fair
2017/8/19,6:53 AM,63,46,54,WSW,9,0,24.65,0,Fair
2017/8/19,7:53 AM,68,45,43,W,6,0,24.65,0,Fair
2017/8/19,8:53 AM,76,42,30,SW,10,0,24.65,0,Fair
2017/8/19,9:53 AM,82,40,22,SW,6,0,24.65,0,Fair
2017/8/19,10:53 AM,86,40,20,WSW,7,0,24.65,0,Fair
2017/8/20,1:53 AM,62,41,46,SSE,10,0,24.61,0,Fair
2017/8/20,2:53 AM,68,40,36,SW,12,0,24.61,0,Fair
2017/8/20,3:53 AM,67,40,37,SW,12,0,24.61,0,Cloudy
2017/8/20,4:53 AM,66,40,38,SW,14,0,24.61,0,Cloudy
2017/8/20,5:53 AM,64,40,41,SW,13,0,24.61,0,Cloudy
2017/8/20,6:53 AM,64,40,41,SW,12,0,24.62,0,Cloudy
2017/8/20,7:53 AM,71,41,34,WSW,9,0,24.64,0,Mostly Cloudy
2017/8/20,8:53 AM,75,39,27,WSW,9,0,24.65,0,Cloudy
2017/8/20,9:53 AM,82,34,18,N,6,0,24.66,0,Partly Cloudy
2017/8/20,10:53 AM,84,33,16,NNE,14,20,24.67,0,Partly Cloudy
2017/8/22,1:53 AM,60,49,67,ESE,3,0,24.82,0,Fair
2017/8/22,2:53 AM,57,50,77,ESE,10,0,24.82,0,Partly Cloudy
2017/8/22,3:53 AM,58,53,84,SE,8,0,24.82,0,Fair
2017/8/22,4:53 AM,57,53,87,SE,10,0,24.81,0,Fair
2017/8/22,5:53 AM,57,54,89,SE,9,0,24.82,0,Cloudy
2017/8/22,6:53 AM,56,53,90,SE,8,0,24.82,0,Mostly Cloudy
2017/8/22,7:53 AM,61,56,83,SE,12,0,24.83,0,Partly Cloudy
2017/8/22,8:53 AM,67,52,59,S,7,0,24.84,0,Mostly Cloudy
2017/8/22,9:53 AM,71,55,57,SE,9,0,24.84,0,Mostly Cloudy
2017/8/22,10:53 AM,74,57,55,SE,10,18,24.83,0,Mostly Cloudy
2017/8/23,1:53 AM,64,47,54,S,14,0,24.71,0,Cloudy
2017/8/23,2:53 AM,64,50,60,SSW,12,0,24.71,0,Partly Cloudy
2017/8/23,3:53 AM,63,48,58,S,9,0,24.7,0,Cloudy
2017/8/23,4:53 AM,65,48,54,SSW,13,0,24.7,0,Cloudy
2017/8/23,5:53 AM,66,47,50,SW,9,0,24.7,0,Cloudy
2017/8/23,6:53 AM,66,48,52,WSW,9,0,24.71,0,Cloudy
2017/8/23,7:53 AM,67,47,49,W,8,0,24.72,0,Cloudy
2017/8/23,8:53 AM,72,47,41,WSW,10,0,24.72,0,Cloudy
2017/8/23,9:53 AM,76,52,43,WNW,8,0,24.72,0,Partly Cloudy
2017/8/23,10:53 AM,81,45,28,NE,12,0,24.71,0,Partly Cloudy
2017/8/25,1:53 AM,63,43,48,SSW,13,0,24.61,0,Fair
2017/8/25,2:53 AM,63,43,48,SW,14,0,24.6,0,Fair
2017/8/25,3:53 AM,61,43,52,SW,9,0,24.61,0,Fair
2017/8/25,4:53 AM,62,42,48,SSW,16,0,24.61,0,Fair
2017/8/25,5:53 AM,61,42,50,SW,13,0,24.61,0,Fair
2017/8/25,6:53 AM,61,42,50,SSW,12,0,24.61,0,Fair
2017/8/25,7:53 AM,66,42,42,SW,13,0,24.63,0,Fair
2017/8/25,8:53 AM,73,41,31,SW,9,0,24.64,0,Fair
2017/8/25,9:53 AM,79,39,24,VAR,5,0,24.65,0,Fair
2017/8/25,10:53 AM,82,39,22,VAR,3,0,24.65,0,Fair
2017/8/26,12:53 AM,69,44,40,SW,9,0,24.7,0,Fair
2017/8/26,1:53 AM,67,45,45,SW,10,0,24.7,0,Fair
2017/8/26,2:53 AM,64,45,50,SW,9,0,24.71,0,Fair
2017/8/26,3:53 AM,61,44,54,WSW,8,0,24.72,0,Fair
2017/8/26,4:53 AM,61,45,56,WSW,8,0,24.73,0,Fair
2017/8/26,5:53 AM,60,43,53,WSW,8,0,24.73,0,Fair
2017/8/26,6:53 AM,61,44,54,SW,8,0,24.74,0,Fair
2017/8/26,7:53 AM,67,45,45,SW,10,0,24.74,0,Fair
2017/8/26,8:53 AM,75,44,33,WSW,13,0,24.75,0,Fair
2017/8/26,9:53 AM,79,43,28,SSW,8,0,24.76,0,Partly Cloudy
2017/8/13,11:53 AM,83,41,23,N,7,0,24.61,0,Fair
2017/8/13,12:53 PM,86,42,21,E,8,0,24.59,0,Partly Cloudy
2017/8/13,1:53 PM,86,40,20,SSE,7,0,24.58,0,Partly Cloudy
2017/8/13,2:53 PM,83,40,22,E,7,0,24.56,0,Cloudy
2017/8/13,3:39 PM,80,43,27,VAR,5,0,24.56,0,Thunder in the Vicinity
2017/8/13,3:49 PM,81,34,18,SSW,15,24,24.57,0,Thunder
2017/8/13,3:53 PM,81,35,19,WSW,22,29,24.57,0,Thunder / Windy
2017/8/13,3:58 PM,78,38,24,SW,29,38,24.57,0,Thunder / Windy
2017/8/13,4:16 PM,71,48,44,SSE,23,31,24.57,0,T-Storm / Windy
2017/8/13,4:44 PM,78,46,32,SE,13,0,24.57,0,Mostly Cloudy
2017/8/13,4:53 PM,77,43,30,SSE,8,0,24.57,0,Mostly Cloudy
2017/8/15,11:53 AM,77,51,40,NNW,7,0,24.52,0,Cloudy
2017/8/15,12:53 PM,80,53,39,VAR,3,0,24.5,0,Mostly Cloudy
2017/8/15,1:53 PM,82,51,34,VAR,5,0,24.48,0,Cloudy
2017/8/15,2:53 PM,83,49,31,VAR,7,0,24.47,0,Cloudy
2017/8/15,3:53 PM,81,51,35,NW,18,23,24.46,0,Cloudy
2017/8/15,4:42 PM,81,46,29,NNW,5,0,24.46,0,Mostly Cloudy
2017/8/15,4:53 PM,80,47,31,N,5,0,24.46,0,Mostly Cloudy
2017/8/15,5:39 PM,73,46,38,S,20,0,24.47,0,Mostly Cloudy
2017/8/15,5:53 PM,73,45,37,S,13,22,24.47,0,Cloudy
2017/8/15,6:53 PM,73,47,39,WSW,9,0,24.45,0,Mostly Cloudy
2017/8/14,11:53 AM,85,37,18,CALM,0,0,24.52,0,Partly Cloudy
2017/8/14,12:53 PM,87,36,16,E,6,0,24.52,0,Partly Cloudy
2017/8/14,1:53 PM,90,38,16,NNE,6,0,24.5,0,Mostly Cloudy
2017/8/14,2:53 PM,89,36,15,VAR,7,0,24.48,0,Cloudy
2017/8/14,3:53 PM,87,39,18,E,13,0,24.47,0,Mostly Cloudy
2017/8/14,4:53 PM,86,40,20,E,10,0,24.47,0,Cloudy
2017/8/14,5:53 PM,79,42,27,NNW,12,0,24.48,0,Thunder
2017/8/14,6:08 PM,79,42,27,NNW,15,0,24.49,0,Thunder in the Vicinity
2017/8/14,6:19 PM,77,45,32,WSW,13,0,24.5,0,Light Rain with Thunder
2017/8/14,6:30 PM,76,47,36,SW,18,0,24.51,0,T-Storm
2017/8/27,12:53 AM,71,37,29,SSW,12,0,24.74,0,Partly Cloudy
2017/8/17,12:53 PM,84,32,15,VAR,7,0,24.67,0,Partly Cloudy
2017/8/17,1:53 PM,85,34,16,N,10,17,24.65,0,Partly Cloudy
2017/8/17,2:53 PM,83,35,18,N,6,0,24.65,0,Cloudy
2017/8/17,3:53 PM,84,32,15,NW,13,21,24.65,0,Cloudy
2017/8/17,4:35 PM,82,36,19,SSW,13,17,24.65,0,Cloudy
2017/8/17,4:53 PM,83,36,19,SW,14,0,24.65,0,Cloudy
2017/8/17,5:53 PM,85,36,17,CALM,0,0,24.65,0,Mostly Cloudy
2017/8/17,6:53 PM,81,38,21,S,10,0,24.65,0,Partly Cloudy
2017/8/17,7:53 PM,74,39,28,S,12,0,24.65,0,Partly Cloudy
2017/8/17,8:53 PM,65,43,45,SSE,12,0,24.65,0,Fair
2017/8/18,10:53 AM,76,45,33,CALM,0,0,24.74,0,Fair
2017/8/18,11:53 AM,80,43,27,NE,5,0,24.73,0,Fair
2017/8/18,12:53 PM,84,41,22,NNE,9,0,24.71,0,Fair
2017/8/18,1:53 PM,85,39,20,VAR,3,0,24.7,0,Fair
2017/8/18,2:53 PM,86,38,18,NE,10,0,24.69,0,Fair
2017/8/18,3:53 PM,87,37,17,CALM,0,0,24.67,0,Fair
2017/8/18,4:53 PM,87,37,17,VAR,3,0,24.66,0,Fair
2017/8/18,5:53 PM,86,38,18,E,9,0,24.66,0,Fair
2017/8/18,6:53 PM,83,40,22,E,12,0,24.66,0,Fair
2017/8/18,7:53 PM,76,42,30,E,9,0,24.66,0,Fair
2017/8/18,8:53 PM,69,45,42,SE,8,0,24.67,0,Fair
2017/8/19,11:53 AM,91,33,13,SW,5,0,24.63,0,Fair
2017/8/19,12:53 PM,90,33,13,S,8,0,24.61,0,Partly Cloudy
2017/8/19,1:53 PM,92,32,12,SSW,12,0,24.6,0,Partly Cloudy
2017/8/19,2:53 PM,94,32,11,WNW,14,0,24.57,0,Partly Cloudy
2017/8/19,3:53 PM,91,32,12,S,7,0,24.56,0,Partly Cloudy
2017/8/19,4:53 PM,92,29,11,E,5,0,24.55,0,Partly Cloudy
2017/8/19,5:53 PM,89,30,12,WSW,9,0,24.56,0,Mostly Cloudy
2017/8/19,6:26 PM,88,33,14,,0,0,24.57,0,Thunder in the Vicinity
2017/8/19,6:44 PM,83,37,19,WSW,24,37,24.56,0,T-Storm / Windy
2017/8/19,6:53 PM,84,34,17,W,25,37,24.58,0,Thunder in the Vicinity
2017/8/19,7:09 PM,82,37,20,N,28,40,24.61,0,Light Rain / Windy
2017/8/20,11:53 AM,81,37,21,ENE,17,0,24.67,0,Partly Cloudy
2017/8/20,12:53 PM,84,35,17,ENE,12,0,24.66,0,Partly Cloudy
2017/8/20,1:53 PM,87,34,15,CALM,0,0,24.65,0,Partly Cloudy
2017/8/20,1:59 PM,88,36,16,E,10,0,24.65,0,Partly Cloudy
2017/8/20,2:53 PM,87,35,16,E,8,0,24.65,0,Mostly Cloudy
2017/8/20,3:53 PM,88,33,14,E,7,0,24.63,0,Mostly Cloudy
2017/8/20,4:53 PM,88,33,14,E,5,0,24.62,0,Mostly Cloudy
2017/8/20,5:53 PM,86,34,16,ESE,3,0,24.62,0,Mostly Cloudy
2017/8/22,11:53 AM,77,57,50,ESE,10,0,24.81,0,Mostly Cloudy
2017/8/22,12:53 PM,81,57,44,SE,7,17,24.79,0,Mostly Cloudy
2017/8/23,11:53 AM,84,44,25,NNE,9,0,24.7,0,Partly Cloudy
2017/8/23,12:53 PM,87,41,20,NE,9,0,24.69,0,Partly Cloudy
2017/8/23,1:53 PM,88,38,17,VAR,5,0,24.67,0,Partly Cloudy
2017/8/23,2:53 PM,88,36,16,NNE,5,0,24.66,0,Mostly Cloudy
2017/8/23,3:53 PM,88,33,14,NNW,12,17,24.65,0,Mostly Cloudy
2017/8/25,11:53 AM,86,37,18,NE,9,17,24.65,0,Fair
2017/8/25,12:53 PM,87,38,18,VAR,3,0,24.64,0,Partly Cloudy
2017/8/25,1:53 PM,88,36,16,N,7,0,24.63,0,Partly Cloudy
2017/8/26,10:53 AM,84,40,21,CALM,0,0,24.76,0,Partly Cloudy
2017/8/26,11:53 AM,89,36,15,N,7,0,24.75,0,Fair
2017/8/26,12:53 PM,90,34,14,NNE,12,21,24.74,0,Partly Cloudy
2017/8/26,1:53 PM,91,34,13,N,6,0,24.74,0,Partly Cloudy
2017/8/26,2:53 PM,91,32,12,N,13,0,24.72,0,Fair
2017/8/26,3:53 PM,92,31,11,NW,14,21,24.71,0,Partly Cloudy
2017/8/26,4:53 PM,89,34,14,N,16,0,24.71,0,Partly Cloudy
2017/8/26,5:53 PM,88,32,14,NNW,8,0,24.71,0,Mostly Cloudy
2017/8/13,5:53 PM,80,40,24,SSE,6,0,24.57,0,Mostly Cloudy
2017/8/13,6:53 PM,76,46,35,SSW,8,0,24.56,0,Cloudy
2017/8/13,7:53 PM,72,48,43,SW,5,0,24.58,0,Cloudy
2017/8/13,8:53 PM,70,49,47,W,8,0,24.58,0,Cloudy
2017/8/13,9:53 PM,71,48,44,WNW,10,0,24.61,0,Mostly Cloudy
2017/8/13,10:53 PM,62,51,67,SSE,9,0,24.59,0,Mostly Cloudy
2017/8/13,11:53 PM,66,49,54,SSW,14,0,24.57,0,Partly Cloudy
2017/8/15,7:44 PM,71,52,51,NNW,32,51,24.53,0,Blowing Dust / Windy
2017/8/15,7:50 PM,66,48,52,N,37,51,24.54,0,Thunder / Windy
2017/8/15,7:53 PM,66,50,56,N,30,51,24.55,0,Light Rain with Thunder
2017/8/15,8:13 PM,58,51,78,N,31,38,24.56,0.1,T-Storm / Windy
2017/8/15,8:30 PM,57,51,81,NNE,20,0,24.57,0.1,Light Rain with Thunder
2017/8/15,8:48 PM,57,52,82,NNE,22,0,24.56,0.1,Light Rain / Windy
2017/8/15,8:53 PM,57,52,83,NNE,15,29,24.57,0.1,Cloudy
2017/8/15,9:53 PM,57,52,83,NNE,9,0,24.6,0,Rain
2017/8/15,10:53 PM,58,52,81,NNE,12,0,24.6,0,Cloudy
2017/8/15,11:13 PM,58,53,84,W,12,22,24.59,0,Cloudy
2017/8/14,6:53 PM,68,51,55,SSW,16,0,24.52,0,T-Storm
2017/8/14,7:35 PM,66,53,63,E,9,0,24.52,0,Light Rain
2017/8/14,7:53 PM,68,51,55,SE,6,18,24.51,0,Cloudy
2017/8/14,7:55 PM,67,52,59,SE,6,18,24.51,0,Thunder in the Vicinity
2017/8/14,8:12 PM,68,50,52,ESE,7,0,24.51,0,Cloudy
2017/8/14,8:53 PM,66,51,59,SSE,6,0,24.5,0,Mostly Cloudy
2017/8/14,9:53 PM,64,51,63,S,13,0,24.5,0,Mostly Cloudy
2017/8/14,10:53 PM,62,53,72,SSE,12,0,24.5,0,Partly Cloudy
2017/8/14,11:37 PM,64,54,70,SSE,13,24,24.53,0,Mostly Cloudy
2017/8/14,11:50 PM,64,54,68,S,13,0,24.52,0,Mostly Cloudy
2017/8/14,11:53 PM,64,54,70,SSE,12,0,24.52,0,Mostly Cloudy
2017/8/27,1:53 AM,67,39,36,W,10,0,24.75,0,Fair
2017/8/27,2:53 AM,66,43,43,W,9,0,24.75,0,Fair
2017/8/27,3:53 AM,65,42,43,W,9,0,24.76,0,Fair
2017/8/27,4:53 AM,65,43,45,W,5,0,24.78,0,Partly Cloudy
2017/8/27,5:53 AM,68,40,36,NNW,9,0,24.8,0,Cloudy
2017/8/27,6:53 AM,68,42,39,NW,8,0,24.83,0,Cloudy
2017/8/27,7:53 AM,69,44,40,N,7,0,24.85,0,Partly Cloudy
2017/8/27,8:53 AM,72,46,40,VAR,3,0,24.87,0,Partly Cloudy
2017/8/27,9:53 AM,75,47,37,NNW,8,0,24.88,0,Partly Cloudy
2017/8/27,10:53 AM,76,46,35,SW,5,0,24.88,0,Fair
2017/8/27,11:53 AM,80,44,28,NW,9,0,24.86,0,Fair
2017/8/17,9:53 PM,63,45,52,S,10,0,24.66,0,Partly Cloudy
2017/8/17,10:53 PM,68,44,42,SSW,13,0,24.66,0,Fair
2017/8/17,11:53 PM,66,43,43,SSW,15,0,24.67,0,Fair
2017/8/18,9:53 PM,65,49,56,SSE,12,0,24.68,0,Fair
2017/8/18,10:53 PM,66,48,52,SSW,9,0,24.69,0,Fair
2017/8/18,11:53 PM,66,47,50,S,13,0,24.68,0,Partly Cloudy
2017/8/19,7:15 PM,83,36,19,WNW,17,40,24.61,0,Light Rain
2017/8/19,7:53 PM,80,38,22,NE,16,30,24.61,0,Light Rain
2017/8/19,8:16 PM,79,37,22,E,24,38,24.59,0,Cloudy / Windy
2017/8/19,8:53 PM,78,35,21,SE,9,0,24.58,0,Cloudy
2017/8/19,9:53 PM,75,36,24,S,12,0,24.61,0,Mostly Cloudy
2017/8/19,10:53 PM,76,35,23,S,12,0,24.61,0,Mostly Cloudy
2017/8/19,11:10 PM,76,37,24,WSW,12,0,24.62,0,Mostly Cloudy
2017/8/19,11:53 PM,72,39,30,SSW,12,0,24.63,0,Mostly Cloudy
2017/8/20,6:53 PM,83,39,21,N,8,0,24.62,0,Cloudy
2017/8/20,7:53 PM,78,41,27,NNE,3,0,24.63,0,Cloudy
2017/8/20,8:53 PM,78,40,25,NW,8,0,24.65,0,Mostly Cloudy
2017/8/20,9:53 PM,75,40,28,WSW,8,0,24.67,0,Mostly Cloudy
2017/8/20,10:53 PM,75,40,28,WSW,9,0,24.66,0,Cloudy
2017/8/20,11:53 PM,71,41,34,WSW,8,0,24.66,0,Cloudy
2017/8/22,1:53 PM,83,56,39,NE,8,18,24.77,0,Partly Cloudy
2017/8/22,2:35 PM,86,54,33,SSW,15,30,24.74,0,Partly Cloudy
2017/8/22,2:53 PM,87,53,31,W,10,20,24.74,0,Mostly Cloudy
2017/8/22,3:53 PM,84,51,32,WSW,10,0,24.74,0,Cloudy
2017/8/22,4:38 PM,85,50,30,VAR,3,0,24.74,0,Thunder in the Vicinity
2017/8/22,4:53 PM,84,50,31,SSW,10,0,24.74,0,Cloudy
2017/8/22,5:53 PM,82,55,39,S,17,0,24.73,0,Cloudy
2017/8/22,6:53 PM,77,51,40,SSW,17,0,24.73,0,Cloudy
2017/8/22,7:53 PM,72,50,46,SSW,10,0,24.73,0,Cloudy
2017/8/22,8:53 PM,72,52,49,SSW,14,0,24.74,0,Cloudy
2017/8/23,4:53 PM,84,43,24,NW,26,33,24.64,0,Cloudy / Windy
2017/8/23,5:53 PM,81,43,26,NW,16,0,24.65,0,Cloudy
2017/8/23,6:53 PM,77,44,31,W,24,32,24.68,0,Light Rain / Windy
2017/8/23,7:53 PM,73,46,38,WNW,15,0,24.67,0,Cloudy
2017/8/23,8:53 PM,71,44,38,SW,10,0,24.67,0,Mostly Cloudy
2017/8/23,9:53 PM,71,45,39,WSW,9,0,24.69,0,Mostly Cloudy
2017/8/23,10:53 PM,68,45,43,VAR,3,0,24.68,0,Cloudy
2017/8/23,11:53 PM,64,46,52,SSW,13,0,24.67,0,Cloudy
2017/8/25,2:53 PM,87,35,16,NNE,8,0,24.63,0,Mostly Cloudy
2017/8/25,3:53 PM,88,36,16,VAR,5,0,24.63,0,Mostly Cloudy
2017/8/25,4:53 PM,87,36,16,N,5,0,24.63,0,Mostly Cloudy
2017/8/25,5:53 PM,88,37,16,NE,8,0,24.63,0,Mostly Cloudy
2017/8/25,6:53 PM,84,38,19,ENE,9,0,24.63,0,Partly Cloudy
2017/8/25,7:53 PM,76,39,26,ENE,6,0,24.65,0,Partly Cloudy
2017/8/25,8:53 PM,73,40,30,SSE,7,0,24.66,0,Cloudy
2017/8/25,9:53 PM,77,42,29,SSW,10,0,24.67,0,Cloudy
2017/8/25,10:53 PM,74,43,33,SSW,20,0,24.67,0,Mostly Cloudy
2017/8/25,11:53 PM,71,44,38,SSW,15,0,24.69,0,Mostly Cloudy
2017/8/26,6:53 PM,88,32,14,W,3,0,24.71,0,Mostly Cloudy
2017/8/26,7:53 PM,83,32,16,W,5,0,24.71,0,Mostly Cloudy
2017/8/26,8:53 PM,77,33,20,WSW,6,0,24.72,0,Partly Cloudy
2017/8/26,9:53 PM,77,32,19,WSW,6,0,24.73,0,Cloudy
2017/8/26,10:53 PM,70,36,29,E,6,0,24.74,0,Mostly Cloudy
2017/8/26,11:53 PM,72,35,26,SSW,8,0,24.74,0,Mostly Cloudy
2017/8/15,11:53 PM,58,53,84,SW,10,0,24.6,0,Cloudy
2017/8/27,12:53 PM,82,42,24,ESE,10,0,24.84,0,Fair
2017/8/27,1:53 PM,85,40,20,E,10,0,24.82,0,Fair
2017/8/27,2:53 PM,85,40,20,E,6,0,24.8,0,Fair
2017/8/27,3:53 PM,85,41,21,NE,9,0,24.79,0,Fair
2017/8/27,4:53 PM,85,42,22,NNE,3,0,24.78,0,Fair
2017/8/27,5:53 PM,84,43,24,E,8,0,24.78,0,Fair
2017/8/27,6:53 PM,81,43,26,NE,8,0,24.78,0,Fair
2017/8/27,7:53 PM,72,47,41,E,7,0,24.79,0,Fair
2017/8/27,8:53 PM,69,46,44,E,9,0,24.81,0,Partly Cloudy
2017/8/27,9:53 PM,65,45,48,SE,9,0,24.82,0,Fair
2017/8/22,9:53 PM,71,52,51,SSW,18,0,24.73,0,Cloudy
2017/8/22,10:53 PM,70,46,42,S,14,0,24.73,0,Mostly Cloudy
2017/8/22,11:53 PM,69,44,40,SSW,13,0,24.72,0,Cloudy
2017/8/27,10:53 PM,65,48,54,SE,9,0,24.82,0,Fair
2017/8/27,11:53 PM,63,48,58,SE,10,0,24.82,0,Fair
2017/8/28,12:53 AM,63,49,60,SSE,10,0,24.82,0,Fair
2017/8/28,1:53 AM,63,50,63,S,12,0,24.81,0,Fair
2017/8/28,2:53 AM,64,51,63,S,10,0,24.79,0,Fair
2017/8/28,3:53 AM,64,52,65,SSW,5,0,24.79,0,Fair
2017/8/28,4:53 AM,63,52,67,SSW,6,0,24.79,0,Fair
2017/8/28,5:53 AM,61,51,70,WSW,6,0,24.79,0,Fair
2017/8/28,6:53 AM,60,48,64,W,8,0,24.8,0,Fair
2017/8/28,7:53 AM,64,50,60,WSW,7,0,24.79,0,Fair
2017/8/28,8:53 AM,69,51,53,WNW,6,0,24.79,0,Fair
2017/8/28,9:53 AM,74,49,41,NW,7,0,24.8,0,Fair
2017/8/28,10:53 AM,78,49,36,VAR,5,0,24.79,0,Fair
2017/8/29,12:53 AM,68,50,52,SSW,14,0,24.73,0,Fair
2017/8/28,11:53 AM,81,48,31,ESE,7,0,24.79,0,Fair
2017/8/28,12:53 PM,83,48,29,E,5,0,24.77,0,Fair
2017/8/28,1:53 PM,86,38,18,VAR,3,0,24.75,0,Partly Cloudy
2017/8/28,2:53 PM,87,40,19,ESE,10,0,24.74,0,Partly Cloudy
2017/8/28,3:53 PM,89,35,15,ENE,10,20,24.72,0,Fair
2017/8/28,4:53 PM,89,28,11,ENE,13,0,24.7,0,Fair
2017/8/28,5:53 PM,87,32,14,NE,9,0,24.7,0,Fair
2017/8/28,6:53 PM,83,38,20,E,9,0,24.7,0,Fair
2017/8/29,1:53 AM,67,50,54,SSW,17,0,24.72,0,Fair
2017/8/29,2:53 AM,66,50,56,SSW,10,0,24.72,0,Fair
2017/8/29,3:53 AM,66,49,54,SW,14,0,24.72,0,Fair
2017/8/29,4:53 AM,64,49,58,SW,13,0,24.72,0,Fair
2017/8/29,5:53 AM,64,48,56,SW,10,0,24.72,0,Fair
